temperature,date,dia_da_semana,mes_venda,temperatura_celsius,total_de_vendas
65F,"segunda-feira, março 01, 2004",seg,mar,24,38911
63F,"terça-feira, março 02, 2004",ter,mar,23,36337
62F,"quarta-feira, março 03, 2004",qua,mar,22,35728
65F,"quinta-feira, março 04, 2004",qui,mar,24,36945
63F,"sexta-feira, março 05, 2004",sex,mar,23,36335
63F,"sábado, março 06, 2004",sab,mar,23,36332
65F,"domingo, março 07, 2004",dom,mar,24,36939
63F,"segunda-feira, março 08, 2004",seg,mar,22,35717
63F,"terça-feira, março 09, 2004",ter,mar,23,36325
60F,"quarta-feira, março 10, 2004",qua,mar,21,35106
65F,"quinta-feira, março 11, 2004",qui,mar,24,36932
62F,"sexta-feira, março 12, 2004",sex,mar,22,35711
60F,"sábado, março 13, 2004",sab,mar,21,35101
62F,"domingo, março 14, 2004",dom,mar,22,35708
64F,"segunda-feira, março 15, 2004",seg,mar,23,36317
62F,"terça-feira, março 16, 2004",ter,mar,22,35705
62F,"quarta-feira, março 17, 2004",qua,mar,22,35703
70F,"quinta-feira, março 18, 2004",qui,mar,26,38138
67F,"sexta-feira, março 19, 2004",sex,mar,25,37529
67F,"sábado, março 20, 2004",sab,mar,25,37528
62F,"domingo, março 21, 2004",dom,mar,22,35698
64F,"segunda-feira, março 22, 2004",seg,mar,23,36305
64F,"terça-feira, março 23, 2004",ter,mar,23,36304
63F,"quarta-feira, março 24, 2004",qua,mar,23,36304
65F,"quinta-feira, março 25, 2004",qui,mar,24,36912
64F,"sexta-feira, março 26, 2004",sex,mar,24,36909
65F,"sábado, março 27, 2004",sab,mar,24,36907
62F,"domingo, março 28, 2004",dom,mar,22,35687
65F,"segunda-feira, março 29, 2004",seg,mar,24,36904
65F,"terça-feira, março 30, 2004",ter,mar,24,36903
65F,"quarta-feira, março 31, 2004",qua,mar,24,36901
66F,"quinta-feira, abril 01, 2004",qui,abr,24,36899
60F,"sexta-feira, abril 02, 2004",sex,abr,21,35071
65F,"sábado, abril 03, 2004",sab,abr,24,36894
63F,"domingo, abril 04, 2004",dom,abr,23,36284
68F,"segunda-feira, abril 05, 2004",seg,abr,26,38108
59F,"terça-feira, abril 06, 2004",ter,abr,21,35060
65F,"quarta-feira, abril 07, 2004",qua,abr,24,36886
66F,"quinta-feira, abril 08, 2004",qui,abr,24,36886
62F,"sexta-feira, abril 09, 2004",sex,abr,22,35667
65F,"sábado, abril 10, 2004",sab,abr,24,36883
63F,"domingo, abril 11, 2004",dom,abr,22,35665
62F,"segunda-feira, abril 12, 2004",seg,abr,22,35664
65F,"terça-feira, abril 13, 2004",ter,abr,24,36882
62F,"quarta-feira, abril 14, 2004",qua,abr,22,35664
63F,"quinta-feira, abril 15, 2004",qui,abr,23,36269
67F,"sexta-feira, abril 16, 2004",sex,abr,25,37487
65F,"sábado, abril 17, 2004",sab,abr,24,36877
65F,"domingo, abril 18, 2004",dom,abr,24,36877
65F,"segunda-feira, abril 19, 2004",seg,abr,24,36875
65F,"terça-feira, abril 20, 2004",ter,abr,24,36874
64F,"quarta-feira, abril 21, 2004",qua,abr,23,36264
62F,"quinta-feira, abril 22, 2004",qui,abr,22,35655
62F,"sexta-feira, abril 23, 2004",sex,abr,22,35653
63F,"sábado, abril 24, 2004",sab,abr,23,36262
67F,"domingo, abril 25, 2004",dom,abr,25,37479
66F,"segunda-feira, abril 26, 2004",seg,abr,25,37478
65F,"terça-feira, abril 27, 2004",ter,abr,24,36869
66F,"quarta-feira, abril 28, 2004",qua,abr,25,37478
63F,"quinta-feira, abril 29, 2004",qui,abr,23,36260
